content_id,value,context_code
1489,buse electronics,also_known_as
1489,buse industries,also_known_as
1489,"buse industries, inc.",also_known_as
1489,buse / lectronix plus,also_known_as
1489,lectronix plus,also_known_as
1618,3Com,short_name
1618,Chipcom,acquired_by
1619,3M,short_name
1619,3M Electronics Products ,formerly_known_as
1619,3M Textool,brand_of
1619,M3Tek,brand_of
1619,Robinson-Nugent Inc,acquired_by
1620,3M Textool,also_known_as
1620,3M Textool,short_name
1620,Bumpon,brand_of
1620,Microtouch,brand_of
1620,Multi-Touch,product_family
1620,Novec,brand_of
1621,3Y Power,short_name
1621,3Y Power Technology,also_known_as
1621,FSP Group,parent_of
1622,Actuant Electrical,division_of
1622,AW Sperry Instruments,formerly_known_as
1622,AW Sperry Instruments,also_known_as
1623,Aaeon,short_name
1624,Aastra,short_name
1624,AMD,also_known_as
1625,Aavid,short_name
1625,Aavid Thermalloy,formerly_known_as
1625,Aavid Thermalloy,also_known_as
1626,ABB Control,short_name
1626,DTS (LED Lights),brand_of
1626,E-Klips,trademark_of
1626,Essailec,brand_of
1626,Royce Thompson Electric,division_of
1627,Abbatron,short_name
1627,Abbatron HH Smith,also_known_as
1627,G&H Industries,acquired_by
1627,GHPlugs,acquired_by
1627,HH Smith,formerly_known_as
1627,NTT Inc,formerly_known_as
1627,NTT-Smith,formerly_known_as
1628,Abeco,short_name
1628,HH Smith,acquired_by
1629,ABL Aluminum Components,also_known_as
1629,ABL Components,also_known_as
1629,ABL Heatsinks,also_known_as
1629,ABL LTD,also_known_as
1630,Abracon,short_name
1631,ACL Inc,also_known_as
1631,ACL Staticide,also_known_as
1633,Acme Industrial,also_known_as
1633,Jergens Inc,division_of
1634,Acme United,also_known_as
1634,Camillus,brand_of
1634,Clauss (knives),brand_of
1634,Physicians Care,brand_of
1634,Westcott (scissors and rulers),brand_of
1635,ACR Systems,short_name
1636,Acrosser,short_name
1637,Actel,short_name
1637,Actel Corporation,formerly_known_as
1637,Microsemi Corporation,division_of
1637,Microsemi FPGA & SoC,formerly_known_as
1637,Microsemi SOC Products Group,formerly_known_as
1639,Actronix,short_name
1640,Adam Tech,short_name
1641,Adaptec,short_name
1641,Adaptec by PMC,previous_name_value
1641,Microsemi Adaptec,formerly_known_as
1641,Microsemi Storage OTN and Networking Solutions,acquired_by
1641,PMC-Sierra,division_of
1641,Snap Appliance Inc,acquired_by
1642,Adapters-Plus,also_known_as
1643,ADC,short_name
1643,ADC Telecom,also_known_as
1643,PairGain Technologies,acquired_by
1644,Adda,short_name
1644,ADDA,brand_of
1644,FORMOAIR,brand_of
1645,Adeneo,also_known_as
1646,ADI Electronics,also_known_as
1647,Adtran,short_name
1647,APEC,also_known_as
1648,Advance Transformer,also_known_as
1649,Advanced Circuits,also_known_as
1649,Coastal Circuits,acquired_by
1650,Advanced Interconnect,also_known_as
1650,"AI/FOCS, Inc",also_known_as
1651,Advanced Interconnections,also_known_as
1652,Advanced Linear Devices,also_known_as
1652,ALD,abbreviation
1653,Advanced Micro Devices,also_known_as
1653,Advanced Micro Devices Inc,also_known_as
1653,Alchemy Semiconductor,acquired_by
1653,AMD,acronym
1653,ArtX,acquired_by
1653,ATI Technologies Inc,acquired_by
1653,Monolithic Memories (MMI),acquired_by
1653,NexGen,acquired_by
1653,SeaMicro,acquired_by
1654,Advanced Monolythic Capacitors,also_known_as
1654,Advanced Monolythic Ceramics,also_known_as
1654,AMC,also_known_as
